timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/27 13:19:31.198, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:34.199, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 54 %, 36 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:34.199, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:37.199, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 78 %, 42 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:37.200, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:40.200, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 93 %, 71 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:40.200, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:43.201, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 86 %, 54 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:43.201, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:46.201, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 88 %, 71 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:46.202, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:49.202, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 82 %, 53 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:49.202, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:52.203, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 61 %, 39 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:52.203, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:55.204, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 66 %, 47 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:55.204, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:58.204, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 48 %, 26 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:58.205, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
